[OPTIMAL]
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
9	-1	-1	-1	-1	-1	-1	-1	-1	-1	
9	20	-1	-1	-1	-1	-1	-1	-1	-1	
9	20	4	-1	-1	-1	-1	-1	-1	-1	
9	20	4	-1	-1	-1	-1	-1	-1	-1	(hit!)
9	20	4	29	-1	-1	-1	-1	-1	-1	
9	20	4	29	6	-1	-1	-1	-1	-1	
9	20	4	29	6	-1	-1	-1	-1	-1	(hit!)
9	20	4	29	6	-1	-1	-1	-1	-1	(hit!)
9	20	4	29	6	1	-1	-1	-1	-1	
9	20	4	29	6	1	7	-1	-1	-1	
9	20	4	29	6	1	7	-1	-1	-1	(hit!)
9	20	4	29	6	1	7	-1	-1	-1	(hit!)
9	20	4	29	6	1	7	-1	-1	-1	(hit!)
9	20	4	29	6	1	7	16	-1	-1	
9	20	4	29	6	1	7	16	-1	-1	(hit!)
9	20	4	29	6	1	7	16	26	-1	
9	20	4	29	6	1	7	16	26	-1	(hit!)
9	20	4	29	6	1	7	16	26	2	
9	20	4	29	6	1	7	16	25	2	
9	20	4	29	6	1	7	16	25	2	(hit!)
9	20	4	29	6	3	7	16	25	2	
9	20	4	29	6	3	7	16	25	2	(hit!)
9	20	4	29	6	3	7	16	25	2	(hit!)
9	20	4	29	6	17	7	16	25	2	
9	20	4	29	6	17	7	16	22	2	
9	20	4	18	6	17	7	16	22	2	
9	20	4	13	6	17	7	16	22	2	
9	20	4	13	6	17	7	16	22	2	(hit!)
9	20	4	13	6	17	7	16	22	2	(hit!)
9	20	4	13	6	17	7	16	22	2	(hit!)
9	20	4	28	6	17	7	16	22	2	
9	20	4	28	6	17	7	21	22	2	
9	20	4	28	6	17	7	12	22	2	
9	20	4	28	6	17	7	12	22	2	(hit!)
9	20	4	28	6	17	7	12	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	4	28	6	17	7	14	22	2	(hit!)
9	20	19	28	6	17	7	14	22	2	
9	20	19	28	6	17	7	14	22	2	(hit!)
9	20	19	28	6	17	7	14	22	2	(hit!)
9	20	19	28	6	17	7	14	22	2	(hit!)
9	20	19	28	6	17	7	14	22	29	
9	20	19	28	6	17	21	14	22	29	
11	20	19	28	6	17	21	14	22	29	
16	20	19	28	6	17	21	14	22	29	
16	20	19	28	6	17	21	14	22	29	(hit!)
1	20	19	28	6	17	21	14	22	29	
1	20	19	28	6	17	5	14	22	29	
1	20	19	28	6	17	5	14	22	29	(hit!)
1	20	19	28	6	17	5	14	22	29	(hit!)
1	20	19	28	6	17	5	14	22	29	(hit!)
1	20	19	28	6	17	5	14	22	29	(hit!)
1	20	18	28	6	17	5	14	22	29	
1	20	24	28	6	17	5	14	22	29	
1	20	24	28	6	17	5	14	22	29	(hit!)
1	20	24	28	6	17	5	14	22	29	(hit!)
1	20	24	28	6	17	5	14	22	26	
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	28	6	17	5	14	22	26	(hit!)
1	20	24	25	6	17	5	14	22	26	
1	20	24	25	6	17	5	14	22	26	(hit!)
1	20	24	25	6	17	5	14	22	26	(hit!)
1	20	24	25	6	17	5	14	22	26	(hit!)
21	20	24	25	6	17	5	14	22	26	
9	20	24	25	6	17	5	14	22	26	
9	20	24	25	6	17	5	14	22	26	(hit!)
9	20	24	25	6	17	8	14	22	26	
9	20	24	25	6	17	8	14	29	26	
9	20	24	25	6	17	8	14	27	26	
9	20	24	25	6	17	8	14	27	26	(hit!)
9	20	24	25	6	17	8	14	27	26	(hit!)
9	20	24	25	6	17	8	14	27	26	(hit!)
9	20	24	25	6	17	8	14	27	26	(hit!)
9	20	24	25	6	17	8	14	27	26	(hit!)
9	20	24	25	6	17	23	14	27	26	
9	7	24	25	6	17	23	14	27	26	
9	7	24	25	6	17	23	14	27	26	(hit!)
9	7	24	25	6	17	23	14	15	26	
9	7	24	25	6	17	23	14	13	26	
9	7	24	25	6	17	23	14	2	26	
9	7	24	25	6	17	23	14	2	26	(hit!)
9	7	24	25	6	17	23	14	2	26	(hit!)
9	7	24	25	6	17	23	14	2	26	(hit!)
9	7	24	25	6	17	23	14	2	26	(hit!)
9	7	24	25	6	17	23	14	4	26	
9	7	24	25	6	17	23	14	4	26	(hit!)
9	7	24	25	6	17	23	14	4	26	(hit!)
9	7	24	25	6	17	23	14	4	26	(hit!)
9	7	24	25	6	17	23	14	4	26	(hit!)
9	7	24	25	6	17	23	14	29	26	
9	7	24	25	6	17	23	14	29	26	(hit!)
9	7	24	25	6	17	23	14	3	26	
9	7	24	25	6	17	22	14	3	26	
9	7	24	25	6	17	22	14	3	26	(hit!)
9	7	24	25	6	17	16	14	3	26	
9	7	24	25	6	17	16	14	3	26	(hit!)
9	7	24	25	6	17	5	14	3	26	
9	7	24	25	6	17	5	14	3	26	(hit!)
9	7	24	25	6	17	5	14	11	26	
9	7	24	25	6	17	5	14	18	26	
